,players,items,range,repeat,obs,runtime,diff
0,2,10,100,2,50, 3.818, 0.039
1,2,10,100,2,75, 4.881, 0.033
2,2,10,100,2,100, 6.635, 0.030
3,2,10,500,2,50, 3.795, 0.069
4,2,10,500,2,75, 5.041, 0.065
5,2,10,500,2,100, 6.407, 0.060
6,2,25,100,2,50,98.066, 0.012
7,2,25,100,2,75,95.644, 0.003
8,2,25,100,2,100,100.578, 0.001
9,2,25,500,2,50,88.732, 0.025
10,2,25,500,2,75,92.888, 0.014
11,2,25,500,2,100,102.892, 0.011
12,3,10,100,2,50, 6.736, 0.062
13,3,10,100,2,75, 9.263, 0.054
14,3,10,100,2,100,11.577, 0.048
15,3,10,500,2,50, 6.517, 0.080
16,3,10,500,2,75, 8.494, 0.067
17,3,10,500,2,100,11.460, 0.059
18,3,25,100,2,50,127.554, 0.037
19,3,25,100,2,75,128.295, 0.021
20,3,25,100,2,100,151.902, 0.007
21,3,25,500,2,50,122.018, 0.042
22,3,25,500,2,75,131.813, 0.031
23,3,25,500,2,100,154.320, 0.022
