cap,o,runtime,error
 0.200,20, 1.950, 0.188
 0.200,40, 2.398, 0.125
 0.200,80, 3.585, 0.097
 0.200,160, 5.118, 0.062
 0.200,240, 6.463, 0.045
 0.200,320, 8.673, 0.036
 0.400,20, 3.063, 0.125
 0.400,40, 3.799, 0.079
 0.400,80, 5.078, 0.060
 0.400,160, 7.729, 0.032
 0.400,240, 9.479, 0.022
 0.400,320,12.183, 0.019
 0.600,20, 2.458, 0.160
 0.600,40, 3.953, 0.126
 0.600,80, 5.703, 0.098
 0.600,160, 9.654, 0.061
 0.600,240,12.337, 0.050
 0.600,320,14.773, 0.042
 0.800,20, 1.441, 0.451
 0.800,40, 2.333, 0.386
 0.800,80, 4.903, 0.371
 0.800,160,11.073, 0.346
 0.800,240,15.291, 0.320
 0.800,320,27.002, 0.288
