items,range,avg,sdev,min,max,change
100,500, 0.247, 0.238, 0.085, 1.241, 0.001
100,1000, 0.281, 0.333, 0.087, 1.478, 0.001
100,5000, 0.307, 0.356, 0.087, 1.560, 0.001
500,500, 0.935, 0.755, 0.457, 4.267, 0.000
500,1000, 1.764, 2.614, 0.422,13.008, 0.000
500,5000, 0.803, 0.611, 0.421, 2.998, 0.000
1000,500, 1.053, 0.394, 0.838, 2.845, 0.000
1000,1000, 1.097, 0.426, 0.850, 3.061, 0.000
1000,5000, 0.932, 0.177, 0.837, 1.661, 0.000
5000,500, 4.271, 0.095, 4.156, 4.508, 0.000
5000,1000, 4.173, 0.337, 3.295, 4.431, 0.000
5000,5000, 3.455, 0.117, 3.191, 3.663, 0.000
10000,500, 6.908, 0.380, 6.546, 8.479, 0.000
10000,1000, 6.824, 0.118, 6.649, 7.199, 0.000
10000,5000, 6.825, 0.085, 6.657, 6.962, 0.000
