,players,items,range,avg,sdev,min,max,inf,change
0,2,50,250,0.330,0.117,0.224,0.872,5,0.171
1,2,50,500,0.352,0.078,0.266,0.559,8,0.140
2,2,100,250,1.593,1.222,0.528,6.255,6,0.144
3,2,100,500,1.258,0.570,0.655,3.095,7,0.146
4,2,250,250,23.523,10.718,3.154,31.183,22,0.044
5,2,250,500,15.987,10.959,3.956,31.360,10,0.123
6,3,50,250,0.929,0.469,0.493,2.861,16,0.172
7,3,50,500,0.916,0.309,0.489,2.030,18,0.144
8,3,100,250,12.291,11.152,1.835,30.195,23,0.083
9,3,100,500,5.245,3.567,2.379,20.834,22,0.098
10,3,250,250,32.296,3.197,30.013,44.372,30,0.000
11,3,250,500,30.276,0.206,30.054,30.921,30,0.000
